epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,602.029,0.63855,0.65016,1.09758,0.62918,0.7827,0.84381,0.74831,0.61502,1.08515,1.07033,0.000470375,0.000470375,0.000470375
65,611.034,0.6708,0.63856,1.10396,0.69594,0.75417,0.84953,0.77273,0.65318,1.20537,1.05301,0.000458,0.000458,0.000458
66,619.824,0.62158,0.61211,1.0825,0.73826,0.76541,0.73738,0.65937,0.62402,0.9647,0.99333,0.000445625,0.000445625,0.000445625
67,628.778,0.6295,0.62432,1.09837,0.65692,0.80694,0.70352,0.6238,0.61474,1.107,0.99385,0.00043325,0.00043325,0.00043325
68,637.517,0.61126,0.58379,1.05808,0.6344,0.76262,0.78373,0.69824,0.58734,1.56409,0.99595,0.000420875,0.000420875,0.000420875
69,646.298,0.6136,0.59134,1.07269,0.63464,0.67639,0.63955,0.55825,0.62907,1.62865,1.02842,0.0004085,0.0004085,0.0004085
70,655.128,0.59248,0.57698,1.07319,0.68335,0.74651,0.68505,0.60082,0.64713,1.14446,1.04252,0.000396125,0.000396125,0.000396125
71,663.74,0.58211,0.55308,1.06415,0.77317,0.80694,0.7509,0.64379,0.61522,0.87153,1.01309,0.00038375,0.00038375,0.00038375
72,672.491,0.56398,0.5396,1.0415,0.83594,0.77306,0.89451,0.78444,0.60291,0.93556,0.98361,0.000371375,0.000371375,0.000371375
73,681.813,0.54509,0.51774,1.02488,0.81564,0.76694,0.75592,0.67574,0.64276,1.03762,1.01634,0.000359,0.000359,0.000359
74,690.435,0.56116,0.50228,1.04694,0.7626,0.80694,0.73716,0.64245,0.60964,0.88004,1.00365,0.000346625,0.000346625,0.000346625
75,699.762,0.58997,0.50719,1.05248,0.72706,0.83194,0.75628,0.66045,0.57208,0.89918,1.00035,0.00033425,0.00033425,0.00033425
76,708.583,0.56206,0.56134,1.04173,0.77694,0.74302,0.74675,0.66506,0.57997,0.94001,0.99212,0.000321875,0.000321875,0.000321875
77,717.302,0.5422,0.51705,1.03885,0.71932,0.77369,0.76245,0.67352,0.56324,0.88655,0.97055,0.0003095,0.0003095,0.0003095
78,726.246,0.55424,0.52696,1.03802,0.81275,0.79146,0.75741,0.65082,0.59622,0.81006,0.99042,0.000297125,0.000297125,0.000297125
79,735.072,0.56116,0.52389,1.05617,0.75627,0.75927,0.90219,0.78308,0.64884,0.9285,1.02362,0.00028475,0.00028475,0.00028475
80,743.846,0.58619,0.52363,1.05689,0.6907,0.8713,0.9015,0.80203,0.63826,1.0971,1.06267,0.000272375,0.000272375,0.000272375
81,755.062,0.5226,0.48748,1.02975,0.70314,0.74139,0.85068,0.78784,0.64248,1.12893,1.05652,0.00026,0.00026,0.00026
82,764.023,0.50283,0.46165,1.01308,0.59569,0.75624,0.82521,0.72075,0.65141,1.35231,1.04183,0.000247625,0.000247625,0.000247625
83,772.879,0.53989,0.49055,1.04169,0.66057,0.68359,0.8198,0.7446,0.66208,1.35672,1.03148,0.00023525,0.00023525,0.00023525
84,781.605,0.54469,0.50303,1.02829,0.6733,0.72211,0.85267,0.76859,0.64688,1.24502,1.00325,0.000222875,0.000222875,0.000222875
85,790.571,0.48691,0.46407,1.01405,0.67902,0.75272,0.8415,0.77043,0.62014,1.31429,1.00231,0.0002105,0.0002105,0.0002105
86,799.768,0.52481,0.48488,1.03815,0.71828,0.75012,0.74312,0.67287,0.56917,0.99518,0.98148,0.000198125,0.000198125,0.000198125
87,808.641,0.50761,0.46605,1.02412,0.72268,0.79584,0.73756,0.66902,0.54163,0.93032,0.98196,0.00018575,0.00018575,0.00018575
88,817.582,0.51159,0.44314,1.02153,0.7045,0.78733,0.73518,0.6729,0.55129,0.9897,0.9754,0.000173375,0.000173375,0.000173375
89,826.346,0.482,0.43395,0.99467,0.72074,0.76221,0.88176,0.77695,0.57032,0.99886,0.99094,0.000161,0.000161,0.000161
90,835.1,0.49155,0.45683,1.01675,0.74,0.74756,0.87556,0.77048,0.57568,1.11311,0.98617,0.000148625,0.000148625,0.000148625
91,844.782,0.38974,0.33129,0.92813,0.72686,0.75694,0.85929,0.78124,0.55981,1.13432,0.97813,0.00013625,0.00013625,0.00013625
92,853.655,0.40069,0.33032,0.95123,0.6586,0.78201,0.83409,0.77648,0.58354,1.18873,0.9937,0.000123875,0.000123875,0.000123875
93,862.394,0.38454,0.28906,0.94382,0.71123,0.77093,0.85401,0.78032,0.57641,1.15896,0.9967,0.0001115,0.0001115,0.0001115
94,871.013,0.3692,0.29547,0.92404,0.70549,0.80694,0.84597,0.76452,0.58259,1.09372,1.0067,9.9125e-05,9.9125e-05,9.9125e-05
95,879.945,0.37251,0.31561,0.92815,0.69442,0.80694,0.72359,0.65792,0.5836,1.03655,0.98601,8.675e-05,8.675e-05,8.675e-05
96,888.76,0.37898,0.28476,0.92754,0.70477,0.79739,0.86016,0.79252,0.57771,0.99631,0.97073,7.4375e-05,7.4375e-05,7.4375e-05
97,897.883,0.38665,0.29394,0.9453,0.69128,0.80512,0.8625,0.7874,0.58031,0.99374,0.96816,6.2e-05,6.2e-05,6.2e-05
98,906.653,0.36425,0.29678,0.93298,0.69512,0.80617,0.7349,0.65014,0.58509,0.97593,0.97414,4.9625e-05,4.9625e-05,4.9625e-05
99,915.384,0.346,0.2703,0.92091,0.69296,0.80694,0.73967,0.65555,0.55804,0.94231,0.9598,3.725e-05,3.725e-05,3.725e-05
100,924.928,0.34743,0.26919,0.93028,0.69749,0.79648,0.85963,0.76619,0.54865,0.95277,0.95678,2.4875e-05,2.4875e-05,2.4875e-05
